,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code,acquired_day,price_amount_USD,time_acq_last_funding,time_founding_acq
0,/organization/waywire,#waywire,|Entertainment|Politics|Social Media|News|,News,USA,NY,New York City,New York,/organization/magnify,Waywire Networks,|Curated Web|Video|,Curated Web,USA,NY,New York City,New York,2013-10-17,10,4,2013,,USD,17,,474.0,503.0
1,/organization/1000memories,1000memories,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/organization/ancestry-com,Ancestry,|Internet|E-Commerce|,Internet,USA,UT,Salt Lake City,Provo,2012-10-03,10,4,2012,,USD,3,,595.0,825.0
2,/organization/100plus,100Plus,|Analytics|,Analytics,USA,CA,SF Bay Area,San Francisco,/organization/practice-fusion,Practice Fusion,|Physicians|Electronic Health Records|Health Care|Health and Wellness|,Health and Wellness,USA,CA,SF Bay Area,San Francisco,2013-02-27,2,1,2013,,USD,27,,455.0,530.0
3,/organization/2nd-story-software-inc,"2nd Story Software, Inc.",|Software|,Software,USA,IA,Cedar Rapids,Cedar Rapids,/organization/blucora,Blucora,|Internet|,Internet,USA,WA,Seattle,Bellevue,2012-01-09,1,1,2012,287500000.0,USD,9,287500000.0,2476.0,5076.0
4,/organization/3leaf,3Leaf,|Web Hosting|,Web Hosting,USA,CA,SF Bay Area,Santa Clara,/organization/huawei,Huawei Technologies,|Security|Storage|Mobile|Wireless|Web Hosting|,Wireless,USA,TX,Dallas,Plano,2011-02-19,2,1,2011,,USD,19,,880.0,2454.0
5,/organization/3tier-environmental-forecast-group,3TIER,|Clean Technology|,Clean Technology,USA,WA,Seattle,Seattle,/organization/vaisala,Vaisala,,,FIN,,Vantaa,Vantaa,2013-12-17,12,4,2013,14700000.0,USD,17,14700000.0,1391.0,5464.0
6,/organization/41st-parameter,41st Parameter,|Security|,Security,USA,CA,SF Bay Area,San Jose,/organization/experian,Experian,|Credit|Curated Web|,Curated Web,USA,CA,Anaheim,Costa Mesa,2013-10-01,10,4,2013,324000000.0,USD,1,324000000.0,538.0,3561.0
7,/organization/4home,4Home,|Automotive|Clean Energy|Internet|Cloud Computing|Wireless|Software|,Cloud Computing,USA,CA,SF Bay Area,Sunnyvale,/organization/motorola-solutions,Motorola Solutions,|Enterprise Software|,Enterprise Software,USA,IL,Chicago,Schaumburg,2010-12-01,12,4,2010,,USD,1,,301.0,1795.0
8,/organization/500friends,500Friends,|Loyalty Programs|Social Media|E-Commerce|Enterprise Software|,E-Commerce,USA,CA,SF Bay Area,San Francisco,/organization/merkle,Merkle,|Advertising|,Advertising,USA,MD,Baltimore,Columbia,2014-11-18,11,4,2014,,USD,18,,616.0,1782.0
9,/organization/56-com,56.com,|Photography|,Photography,CHN,,Guangzhou,Guangzhou,/organization/renren-inc,Renren Inc.,|Technology|Social Media|Curated Web|,Technology,CHN,,CHN - Other,Chaoyang,2011-09-26,9,3,2011,80000000.0,USD,26,80000000.0,1395.0,2369.0
10,/organization/5min,5min Media,|Education|Video|Games|,Video,USA,NY,New York City,New York,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Content Creators,USA,NY,New York City,New York,2010-09-28,9,3,2010,65000000.0,USD,28,65000000.0,432.0,1366.0
11,/organization/5rocks,5Rocks,|Games|,Games,KOR,,Seoul,Seoul,/organization/tapjoy,Tapjoy,|Brand Marketing|Games|Windows Phone 7|Apps|Android|iOS|Mobile|Advertising|,Brand Marketing,USA,CA,SF Bay Area,San Francisco,2014-08-05,8,3,2014,,USD,5,,336.0,413.0
12,/organization/5to1,5to1,|Internet|Internet Marketing|Advertising|,Internet Marketing,USA,WA,Seattle,Seattle,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Photography,USA,CA,SF Bay Area,Sunnyvale,2011-05-01,5,2,2011,30000000.0,USD,1,30000000.0,172.0,850.0
13,/organization/60mo,60mo,|Finance|Web Development|Business Development|Accounting|Software|,Finance,GBR,,Edinburgh,Edinburgh,/organization/freeagent-central,FreeAgent,|Software|,Software,GBR,,Edinburgh,Edinburgh,2012-05-03,5,2,2012,,USD,3,,470.0,1067.0
14,/organization/6th-sense-analytics,6th Sense Analytics,|Software|,Software,USA,NC,Raleigh,Morrisville,/organization/rally-software,Rally Software,|Health and Wellness|Software|Enterprise Software|,Health and Wellness,USA,CO,Denver,Boulder,2009-01-14,1,1,2009,,USD,14,,714.0,1840.0
15,/organization/7digital,7digital,|Music|,Music,GBR,,London,London,/organization/ubc-media-group,UBC Media Group,|Advertising|,Advertising,GBR,,London,London,2014-03-18,3,1,2014,,USD,18,,113.0,3729.0
16,/organization/alvenda-inc,8thBridge,|Social Commerce|E-Commerce|,E-Commerce,USA,MN,Minneapolis,Minneapolis,/organization/fluid,Fluid,|E-Commerce|,E-Commerce,USA,CA,SF Bay Area,San Francisco,2014-04-07,4,2,2014,,USD,7,,1113.0,1983.0
17,/organization/91-wireless,91 Wireless,|Mobile|,Mobile,CHN,,Fuzhou Shi,Fuzhou Shi,/organization/baidu,Baidu,|Search|,Search,CHN,,Beijing,Beijing,2013-07-15,7,3,2013,1900000000.0,USD,15,1900000000.0,592.0,1048.0
18,/organization/a-bit-lucky,A Bit Lucky,|Social Games|Games|,Social Games,USA,CA,SF Bay Area,San Mateo,/organization/zynga,Zynga,|Technology|Facebook Applications|Networking|Games|,Technology,USA,CA,SF Bay Area,San Francisco,2012-09-17,9,3,2012,,USD,17,,542.0,1082.0
19,/organization/aardvark,Aardvark,|Search|,Search,USA,CA,SF Bay Area,San Francisco,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Software,USA,CA,SF Bay Area,Mountain View,2010-02-11,2,1,2010,50000000.0,USD,11,50000000.00000001,498.0,956.0
20,/organization/abacast-inc,Abacast,|Analytics|,Analytics,USA,WA,Seattle,Vancouver,/organization/wideorbit,WideOrbit,|Advertising Platforms|Internet Radio Market|Advertising|Television|Enterprise Software|Software|,Advertising Platforms,USA,CA,SF Bay Area,San Francisco,2014-06-09,6,2,2014,,USD,9,,1306.0,5181.0
21,/organization/abaxia,Abaxia,|Software|,Software,FRA,,Neuilly-sur-seine,Neuilly-sur-seine,/organization/htc,HTC Corp,|Hardware + Software|,Hardware + Software,TWN,,TWN - Other,Taoyüan,2010-06-07,6,2,2010,13000000.0,USD,7,12999999.999999998,1672.0,3444.0
22,/organization/accenx-technologies,Accenx Technologies,|Software|,Software,USA,CA,Anaheim,Irvine,/organization/initiate-systems,Initiate Systems,|Health Care|Insurance|Hospitality|Services|Governments|Banking|Games|Enterprise Software|,Health Care,USA,IL,Chicago,Chicago,2009-10-01,10,4,2009,,USD,1,,216.0,4656.0
23,/organization/accept-software,Accept Software,|Career Management|Software|,Career Management,USA,CA,SF Bay Area,Santa Clara,/organization/artemis-international,Artemis International,,,USA,TX,Austin,Austin,2012-10-09,10,4,2012,,USD,9,,665.0,3934.0
24,/organization/accertify,Accertify,|Fraud Detection|Credit Cards|Security|,Security,USA,IL,Chicago,Itasca,/organization/americanexpress,American Express,|Finance|,Finance,USA,NY,New York City,New York,2010-11-01,11,4,2010,150000000.0,USD,1,150000000.0,181.0,1341.0
25,/organization/access-closure,Access Closure,|Health Care|,Health Care,USA,CA,SF Bay Area,Mountain View,/organization/cardinal-health,Cardinal Health,|Health and Wellness|Hospitals|Health Care|,Hospitals,USA,OH,"Columbus, Ohio",Dublin,2014-04-02,4,2,2014,320000000.0,USD,2,320000000.0,548.0,4474.0
26,/organization/access-northeast,Access Northeast,|Networking|Software|Cloud Computing|Services|Data Centers|Web Hosting|,Services,USA,MA,Boston,Marlborough,/organization/xand,Xand,|Software|,Software,USA,NY,New York City,Hawthorne,2012-04-03,4,2,2012,,USD,3,,862.0,4841.0
27,/organization/access-scientific,Access Scientific,|Health Care|,Health Care,USA,CA,San Diego,San Diego,/organization/endeavour-capital,Endeavour Capital,,,USA,OR,"Portland, Oregon",Portland,2012-11-07,11,4,2012,,USD,7,,139.0,3233.0
28,/organization/accumetrics,Accumetrics,|Biotechnology|,Biotechnology,USA,CA,San Diego,San Diego,/organization/itc,ITC,|Biotechnology|,Biotechnology,USA,NY,New York City,New York,2013-08-30,8,3,2013,,USD,30,,0.0,6451.0
29,/organization/accuvant,Accuvant,|Security|,Security,USA,CO,Denver,Denver,/organization/blackstone-group,Blackstone Group,|Investment Management|Finance|,Investment Management,USA,NY,New York City,New York,2014-03-12,3,1,2014,225000000.0,USD,12,225000000.0,-219.0,4453.0
30,/organization/aceva-technologies,Aceva Technologies,|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,San Mateo,/organization/sungard,SunGard,|Software|,Software,USA,PA,Philadelphia,Wayne,2007-02-15,2,1,2007,,USD,15,,574.0,2967.0
31,/organization/acompli-inc,Acompli,|Consumer Internet|Mobile Security|Android|iOS|SaaS|Mobile|Email|Enterprise Software|,Android,USA,CA,SF Bay Area,San Francisco,/organization/microsoft,Microsoft,|Video Games|Software|,Video Games,USA,WA,Seattle,Redmond,2014-12-01,12,4,2014,200000000.0,USD,1,200000000.0,545.0,699.0
